entity_id,score,label_value,race,sex,age_cat
691,True,True,Espanyol,Home,14 i 15 anys
956,True,True,Espanyol,Dona,14 i 15 anys
2560,True,True,Magrib,Home,14 i 15 anys
2018,True,True,Magrib,Home,14 i 15 anys
1650,True,True,Espanyol,Home,16 i 17 anys
4587,True,True,Espanyol,Home,16 i 17 anys
449,True,True,Espanyol,Home,14 i 15 anys
1613,False,True,Espanyol,Home,16 i 17 anys
1132,True,True,Magrib,Home,14 i 15 anys
925,True,True,Espanyol,Home,16 i 17 anys
1703,False,True,Magrib,Home,16 i 17 anys
1014,True,True,Magrib,Home,14 i 15 anys
1638,False,True,Magrib,Home,16 i 17 anys
3212,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
1458,True,True,Espanyol,Home,16 i 17 anys
526,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
3544,False,True,Espanyol,Home,16 i 17 anys
1205,True,True,Centre i Sud Amèrica,Home,16 i 17 anys
2418,True,True,Espanyol,Home,14 i 15 anys
3129,False,True,Espanyol,Home,14 i 15 anys
39,True,True,Espanyol,Home,16 i 17 anys
1312,False,True,Espanyol,Home,14 i 15 anys
4241,False,True,Espanyol,Home,16 i 17 anys
2514,True,True,Espanyol,Home,16 i 17 anys
2163,True,True,Magrib,Home,16 i 17 anys
2745,True,True,Espanyol,Home,16 i 17 anys
4088,False,True,Espanyol,Dona,16 i 17 anys
670,False,True,Espanyol,Home,14 i 15 anys
501,True,True,Centre i Sud Amèrica,Home,16 i 17 anys
4147,True,True,Centre i Sud Amèrica,Dona,16 i 17 anys
2090,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
3749,True,True,Espanyol,Home,16 i 17 anys
790,True,True,Espanyol,Home,16 i 17 anys
1535,True,True,Espanyol,Home,16 i 17 anys
3141,True,True,Centre i Sud Amèrica,Home,16 i 17 anys
3516,True,True,Magrib,Home,16 i 17 anys
4208,True,True,Magrib,Home,14 i 15 anys
246,False,True,Magrib,Home,14 i 15 anys
4667,True,True,Magrib,Home,16 i 17 anys
1144,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
3674,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
1808,True,True,Centre i Sud Amèrica,Home,16 i 17 anys
3765,True,True,Espanyol,Home,16 i 17 anys
2351,True,True,Magrib,Home,16 i 17 anys
3773,True,True,Magrib,Home,16 i 17 anys
2633,True,True,Magrib,Home,16 i 17 anys
3230,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
3967,True,True,Centre i Sud Amèrica,Home,16 i 17 anys
204,True,True,Espanyol,Home,16 i 17 anys
3556,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
2581,True,True,Magrib,Home,14 i 15 anys
3158,True,True,Magrib,Home,14 i 15 anys
2614,False,True,Centre i Sud Amèrica,Home,14 i 15 anys
1853,True,True,Altres,Home,14 i 15 anys
2420,True,True,Espanyol,Home,16 i 17 anys
3057,False,True,Magrib,Home,16 i 17 anys
2073,False,True,Espanyol,Home,16 i 17 anys
